1.jpg	Crotalus atrox (western diamondback rattlesnake)	Peter Paplanus from St. Louis, Missouri	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Western_Diamondback_Rattlesnake_(Crotalus_atrox)_-_Flickr_-_2ndPeter_(1).jpg
2.jpg	Agkistrodon contortrix (eastern copperhead)	Diego Delso	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Serpiente_cabeza_de_cobre_%28Agkistrodon_contortrix%29%2C_Tierpark_Hellabrunn%2C_M%C3%BAnich%2C_Alemania%2C_2012-06-17%2C_DD_01.JPG
3.jpg	Agkistrodon piscivorus (cottonmouth / water moccasin)	Imelda Bettinger from Manvel, TX, USA	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Agkistrodon_piscivorus_Flickr.jpg
4.jpg	Micrurus fulvius (eastern coral snake)	Everglades NPS, Homestead, Florida (U.S. National Park Service)	Public domain	https://commons.wikimedia.org/wiki/File:Coral_Snake,_NPSPhoto_(9257805708).jpg
