1.jpg	Opuntia (prickly pear)	Loadmaster (David R. Tribble)	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Cactus-Prickly-Pear-3901.jpg
2.jpg	Aloe vera	Ellywa	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Aloe_vera_leaf_showing_the_gel_(1).JPG
3.jpg	Opuntia (prickly pear)	Rosser1954	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Opuntia_(Prickly_Pear)_glochids_%26_spine_base.jpg
4.jpg	Opuntia ficus-indica	Christoph Strässler	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Fig_Opuntia_fruits,_Tenerife,_Spain.jpg
5.jpg	Aloe vera	Lionsleeps23	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:A_potted_aloe_vera_plant.jpg
