1.jpg	Salix discolor	Famartin	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:2017-04-03_15_48_05_Pussy_Willow_flowers_along_Scotsmore_Way_near_Kinross_Circle_in_the_Chantilly_Highlands_section_of_Oak_Hill,_Fairfax_County,_Virginia.jpg
2.jpg	Salix fragilis	AnRo0002	CC0	https://commons.wikimedia.org/wiki/File:20171016Salix_fragilis2.jpg
3.jpg	Salix alba	AnRo0002	CC0	https://commons.wikimedia.org/wiki/File:20160721Salix_alba2.jpg
4.jpg	Salix caprea	Nefronus	CC0	https://commons.wikimedia.org/wiki/File:Salix_caprea_male_catkins.jpg
5.jpg	Salix alba	AnRo0002	CC0	https://commons.wikimedia.org/wiki/File:20110716Salix_alba.jpg
